64	1	10
64	2	10
64	3	10
64	4	10
64	5	10
64	6	10
64	7	10
64	8	10
64	9	10
64	10	10
64	11	10
64	12	10
64	13	10
64	14	10
64	15	10
128	1	10
128	2	10
128	3	10
128	4	10
128	5	10
128	6	10
128	7	10
128	8	10
128	9	10
128	10	10
128	11	10
128	12	10
128	13	10
128	14	10
128	15	10
256	1	10
256	2	10
256	3	10
256	4	10
256	5	10
256	6	10
256	7	10
256	8	10
256	9	10
256	10	10
256	11	10
256	12	10
256	13	10
256	14	10
256	15	10
512	1	10
512	2	10
512	3	10
512	4	10
512	5	10
512	6	10
512	7	10
512	8	10
512	9	10
512	10	10
512	11	10
512	12	10
512	13	10
512	14	10
512	15	10
1024	1	10
1024	2	10
1024	3	10
1024	4	10
1024	5	10
1024	6	10
1024	7	10
1024	8	10
1024	9	10
1024	10	10
1024	11	10
1024	12	10
1024	13	10
1024	14	10
1024	15	10
1518	1	10
1518	2	10
1518	3	10
1518	4	10
1518	5	10
1518	6	10
1518	7	10
1518	8	10
1518	9	10
1518	10	10
1518	11	10
1518	12	10
1518	13	10
1518	14	10
1518	15	10
